שנת לימודים,שם מחוז,שם רשות,סמל מוסד,שם מוסד,חמשון טיפוח,סטטוס מוסד,סוג חינוך מוסד,שלבי חינוך במוסד,מגזר,סוג פיקוח,מעמד משפטי, שעות הוראה,עלות  שעות הוראה,שעות פרטניות, שעות שהיה,שעות הדרכה,עלות תיקצוב שעות הדרכה,שעות איחוד משכורת , עלות תיקצוב שעות איחוד משכורת ,"שעות בודדות -חנ""מ - חופשות","עלות שעות בודדות -חנ""מ - חופשות","שכ""ל",גני ילדים,שירותי היקף,תקציב הסעות ,פרויקטים והעברות לרשויות מקומיות ובעלויות,שעות רשת חינוך עצמאי ומעיין חינוך תורני , עלות שעות רשת חינוך עצמאי ומעיין חינוך תורני ,שעות מוסדות פטור,עלות שעות מוסדות פטור,שירותי עזר - מוסדות פטור,מספר תלמידים בפועל חינוך רגיל,מספר תלמידים בפועל חינוך מיוחד, מס' כיתות  חינוך רגיל, מס' כיתות  חינוך מיוחד,"סה""כ תקציב שכר ותשלומים",הערות
תשעו,דרום,רהט,519314,בית ספר טכנולוגי רהט, ,פעיל,רגיל,עליונה בלבד,ערבי,ממלכתי,מוכר,0,0,0,0,0,0,0,0,0,0,"928,696",0,0,0,"38,141",0,0,0,0,0,149,0,7.0,0.0,"966,837", 
תשעו,דרום,רהט,615336,"ע""ש חג' סלמאן אלעתאיקה",חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,602,"4,551,886",94,89,0,0,0,0,0,0,0,0,"428,938",0,"480,471",0,0,0,0,0,327,0,12.0,0.0,"5,461,294", 
תשעו,דרום,רהט,618058,ערב אלהוזייל,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,026","7,974,283",171,159,0,0,0,0,0,0,0,0,"722,276",0,"785,095",0,0,0,0,0,498,11,18.0,1.0,"9,481,654", 
תשעו,דרום,רהט,618231,אבן-ח'לדון,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,795,"6,309,440",144,131,0,0,0,0,0,0,0,0,"660,937",0,"470,284",0,0,0,0,0,411,12,15.0,1.0,"7,440,661", 
תשעו,דרום,רהט,618249,אל סלאם,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,182","9,160,690",200,188,0,0,0,0,0,0,0,0,"900,788",0,"741,264",0,0,0,0,0,635,11,23.0,1.0,"10,802,743", 
תשעו,דרום,רהט,618256,אלהודא,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,641,"4,791,986",91,86,0,0,0,0,247,"34,684",0,0,"522,575",0,"612,755",0,0,0,0,0,315,6,12.0,1.0,"5,961,999", 
תשעו,דרום,רהט,618264,אל-זהרא,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,586","12,372,719",288,260,0,0,0,0,0,0,0,0,"1,231,774",0,"803,801",0,0,0,0,0,892,13,31.0,1.0,"14,408,294", 
תשעו,דרום,רהט,618298,בית אל-חכמה,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,191","9,399,481",214,201,0,0,0,0,0,0,0,0,"993,492",0,"861,077",0,0,0,0,0,643,25,22.0,2.0,"11,254,050", 
תשעו,דרום,רהט,618322,עומר בן אלח'טאב,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,165","8,937,571",188,183,0,0,0,0,0,0,0,0,"891,343",0,"881,645",0,0,0,0,0,630,14,23.0,1.0,"10,710,560", 
תשעו,דרום,רהט,618348,אל-אח'א,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,904,"7,142,322",161,146,0,0,0,0,0,0,0,0,"748,377",0,"678,390",0,0,0,0,0,494,15,17.0,1.0,"8,569,090", 
